Species,awn_category,hair_category,VT,plant_height,wind_speed,5-percentile,25-percentile,50-percentile,75-percentile,90-percentile,99-percentile
Capillipedium_spicigerum,,,1.9,1.5,8.6,-0.01637931,0.157142857,0.274557522,0.401436782,0.522222222,0.9
Chasmanthium_laxum,,,2.98,0.75,2.41,0.00284615,0.006571429,0.009055556,0.011441748,0.014166667,0.0189
Chasmanthium_laxum,,,2.67,0.75,2.41,0.00316393,0.007404762,0.010611111,0.014193277,0.016980583,0.022529412
Chasmanthium_laxum,,,2.98,0.75,4.5,0.00310526,0.008809524,0.012538462,0.01704878,0.021238095,0.0302
Chasmanthium_laxum,,,2.67,0.75,4.5,0.00285849,0.009895161,0.015094406,0.0207,0.026265957,0.036
Chasmanthium_laxum,,,2.98,1.5,2.41,0.01494681,0.028543165,0.037197987,0.04761236,0.057944444,0.0755
Chasmanthium_laxum,,,2.67,1.5,2.41,0.01615385,0.03455,0.047227273,0.061142857,0.073684211,0.093928571
Chasmanthium_laxum,,,2.98,1.5,4.5,0.00880952,0.035227273,0.054527559,0.073852459,0.093166667,0.135
Chasmanthium_laxum,,,2.67,1.5,4.5,0.015,0.045442478,0.06703252,0.091976744,0.115,0.159
Cymbopogon_refractus,,,2.88,0.5,6.31,0.00231481,0.006059524,0.008882609,0.011577922,0.014364865,0.01975
Cymbopogon_refractus,,,2.02,0.5,6.31,0.0042931,0.010973684,0.016585106,0.022447826,0.027595238,0.037038462
Cymbopogon_refractus,,,2.88,0.5,9.03,0.00160465,0.007346154,0.011511628,0.016529412,0.020968254,0.0295
Cymbopogon_refractus,,,2.02,0.5,9.03,0.00361111,0.014188742,0.02183526,0.031763158,0.041857143,0.061
Cymbopogon_refractus,,,2.88,1,6.31,0.00633333,0.02468254,0.039175824,0.054795918,0.068114754,0.096666667
Cymbopogon_refractus,,,2.02,1,6.31,0.01269231,0.047380952,0.07212963,0.0994,0.126666667,0.178333333
Cymbopogon_refractus,,,2.88,1,9.03,0.00887097,0.037947368,0.062428571,0.088235294,0.114019608,0.165
Cymbopogon_refractus,,,2.02,1,9.03,-0.00435484,0.055684932,0.101742857,0.15011811,0.199038462,0.312272727
Elionurus_tripsacoides,,,2.93,0.6,1.47,0.00205319,0.00416443,0.005696532,0.007276224,0.008754237,0.0115
Elionurus_tripsacoides,,,1.7,0.6,1.47,0.00552381,0.0115,0.015956522,0.02072549,0.024833333,0.032454545
Elionurus_tripsacoides,,,2.93,0.6,8.28,0.00064286,0.008326087,0.013567669,0.019817647,0.025848837,0.04
Elionurus_tripsacoides,,,1.7,0.6,8.28,0.00077778,0.020833333,0.03554878,0.05219697,0.067698413,0.095
Elionurus_tripsacoides,,,2.93,1.5,1.47,0.01447674,0.027057522,0.035216049,0.043467742,0.051713483,0.065192308
Elionurus_tripsacoides,,,1.7,1.5,1.47,0.03361111,0.062184466,0.081888889,0.102636364,0.12255102,0.161666667
Elionurus_tripsacoides,,,2.93,1.5,8.28,-0.00182927,0.069152542,0.132894737,0.194393939,0.261428571,0.38
